title,runtimeMinutes,genres,averageRating,numVotes,director,writer,releaseDate,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay
Boogie Nights,155,Drama,7.9,280678,Paul Thomas Anderson,Paul Thomas Anderson,"Oct 10, 1997",15000000,26410771,43111725,1997,10,10
Chasing Amy,113,"Comedy,Drama,Romance",7.2,143307,Kevin Smith,Kevin Smith,"Apr 4, 1997",250000,12006514,15155095,1997,4,4
Clay Pigeons,104,"Comedy,Crime",6.6,12087,David Dobkin,Matthew L. Healy,"Sep 25, 1998",8000000,1793359,2256606,1998,9,25
Con Air,115,"Action,Crime,Thriller",6.9,317297,Simon West,Scott Rosenberg,"Jun 6, 1997",80000000,101117573,224117573,1997,6,6
Conspiracy Theory,135,"Action,Drama,Mystery",6.7,106702,Richard Donner,Brian Helgeland,"Aug 8, 1997",80000000,76118990,142783718,1997,8,8
Cop Land,105,"Crime,Drama,Thriller",7.0,105612,James Mangold,James Mangold,"Aug 15, 1997",15000000,44906632,63706632,1997,8,15
"Dancer, Texas Pop. 81",97,"Comedy,Drama,Family",6.7,2592,Tim McCanlies,Tim McCanlies,"May 1, 1998",2300000,574838,574838,1998,5,1
Deconstructing Harry,96,Comedy,7.3,47580,Woody Allen,Woody Allen,"Dec 12, 1997",20000000,10686841,10686841,1997,12,12
Deep Rising,106,"Action,Adventure,Horror",6.1,40556,Stephen Sommers,Stephen Sommers,"Jan 30, 1998",45000000,11203026,11203026,1998,1,30
Eve's Bayou,108,Drama,7.2,11504,Kasi Lemmons,Kasi Lemmons,"Nov 7, 1997",5000000,14843425,14843425,1997,11,7
Event Horizon,96,"Horror,Sci-Fi,Thriller",6.6,195793,Paul W.S. Anderson,Philip Eisner,"Aug 15, 1997",60000000,26673242,26673954,1997,8,15
The Full Monty,91,"Comedy,Drama",7.2,113621,Peter Cattaneo,Simon Beaufoy,"Aug 13, 1997",3500000,45950122,261249383,1997,8,13
Gattaca,106,"Drama,Sci-Fi,Thriller",7.7,321418,Andrew Niccol,Andrew Niccol,"Oct 24, 1997",36000000,12532777,12532777,1997,10,24
Switchback,118,"Crime,Mystery,Thriller",6.4,15168,Jeb Stuart,Jeb Stuart,"Oct 31, 1997",38000000,6504442,6504442,1997,10,31
Home Fries,91,"Comedy,Drama,Romance",5.1,8895,Dean Parisot,Vince Gilligan,"Nov 25, 1998",15000000,10513979,10513979,1998,11,25
Hope Floats,114,"Drama,Romance",6.0,29959,Forest Whitaker,Steven Rogers,"May 29, 1998",30000000,60110313,81529000,1998,5,29
In & Out,90,"Comedy,Romance",6.4,43959,Frank Oz,Paul Rudnick,"Sep 19, 1997",35000000,63826569,83226569,1997,9,19
In the Company of Men,97,"Comedy,Drama",7.1,14239,Neil LaBute,Neil LaBute,"Aug 1, 1997",25000,2883661,2883661,1997,8,1
Kundun,134,"Biography,Drama,History",7.0,30295,Martin Scorsese,Melissa Mathison,"Dec 25, 1997",28000000,5686694,5686694,1997,12,25
No Looking Back,96,"Drama,Romance",5.9,2179,Edward Burns,Edward Burns,"Mar 27, 1998",5000000,143273,143273,1998,3,27
Love Jones,109,"Drama,Romance",7.3,5599,Theodore Witcher,Theodore Witcher,"Mar 14, 1997",10000000,12554569,12554569,1997,3,14
My Best Friend's Wedding,105,"Comedy,Drama,Romance",6.3,154257,P.J. Hogan,Ron Bass,"Jun 20, 1997",46000000,126813153,298923419,1997,6,20
The Players Club,104,"Comedy,Drama",5.8,7281,Ice Cube,Ice Cube,"Apr 8, 1998",5000000,23047939,23047939,1998,4,8
The Replacement Killers,87,"Action,Crime,Thriller",6.1,30413,Antoine Fuqua,Ken Sanzel,"Feb 6, 1998",30000000,19035741,19035741,1998,2,6
Scream 2,120,"Horror,Mystery",6.3,208290,Wes Craven,Kevin Williamson,"Dec 12, 1997",24000000,101363301,172363301,1997,12,12
Selena,127,"Biography,Drama,Music",6.8,31386,Gregory Nava,Gregory Nava,"Mar 21, 1997",20000000,35782828,35782828,1997,3,21
A Simple Wish,89,"Comedy,Family,Fantasy",5.3,5835,Michael Ritchie,Jeff Rothberg,"Jul 11, 1997",28000000,8165213,8165213,1997,7,11
Sliding Doors,99,"Comedy,Drama,Fantasy",6.7,71230,Peter Howitt,Peter Howitt,"Apr 24, 1998",6000000,11911200,58809149,1998,4,24
Soldier,99,"Action,Drama,Sci-Fi",6.0,59377,Paul W.S. Anderson,David Webb Peoples,"Oct 23, 1998",75000000,14623082,14623082,1998,10,23
Soul Food,115,"Comedy,Drama",7.0,8944,George Tillman Jr.,George Tillman Jr.,"Sep 26, 1997",7500000,43492389,43492389,1997,9,26
Smoke Signals,89,"Comedy,Drama",7.2,12538,Chris Eyre,Sherman Alexie,"Jun 26, 1998",2000000,6719300,7756617,1998,6,26
A Simple Plan,121,"Crime,Drama,Thriller",7.5,75697,Sam Raimi,Scott B. Smith,"Dec 11, 1998",17000000,16316273,16316273,1998,12,11
Titanic,194,"Drama,Romance",7.9,1271437,James Cameron,James Cameron,"Dec 18, 1997",200000000,674460013,2223048786,1997,12,18
The Truman Show,103,"Comedy,Drama",8.2,1183774,Peter Weir,Andrew Niccol,"Jun 5, 1998",60000000,125618201,264118201,1998,6,5
Turbulence,100,"Action,Thriller",5.0,12549,Robert Butler,Jonathan Brett,"Jan 10, 1997",55000000,11532774,11532774,1997,1,10
Ulee's Gold,113,Drama,7.0,7561,Victor Nunez,Victor Nunez,"Jun 13, 1997",2700000,9054736,15600000,1997,6,13
Woo,84,"Comedy,Romance",4.2,2244,Daisy von Scherler Mayer,David C. Johnson,"May 8, 1998",13000000,8064972,8064972,1998,5,8
Celebrity,113,"Comedy,Drama",6.3,28293,Woody Allen,Woody Allen,"Nov 20, 1998",12000000,5078660,6200000,1998,11,20
54,93,"Drama,Music",5.9,34450,Mark Christopher,Mark Christopher,"Aug 28, 1998",13000000,16757163,16757163,1998,8,28
American History X,119,"Crime,Drama",8.5,1179616,Tony Kaye,David McKenna,"Oct 30, 1998",10000000,6719864,6719864,1998,10,30
Being John Malkovich,113,"Comedy,Drama,Fantasy",7.7,351857,Spike Jonze,Charlie Kaufman,"Oct 29, 1999",13000000,22858926,32382381,1999,10,29
The Big Hit,91,"Action,Comedy,Crime",6.0,31347,Kirk Wong,Ben Ramsey,"Apr 24, 1998",13000000,27066941,27073371,1998,4,24
Blade,120,"Action,Horror,Sci-Fi",7.1,296399,Stephen Norrington,David S. Goyer,"Aug 21, 1998",45000000,70141876,131237688,1998,8,21
A Walk on the Moon,107,"Drama,Romance",6.6,9157,Tony Goldwyn,Pamela Gray,"Mar 26, 1999",14000000,4741987,4741987,1999,3,26
Meet the Deedles,93,"Comedy,Family,Sport",4.1,3165,Steve Boyum,Jim Herzfeld,"Mar 27, 1998",24000000,4356126,4356126,1998,3,27
Dogma,130,"Adventure,Comedy,Drama",7.3,227642,Kevin Smith,Kevin Smith,"Nov 12, 1999",10000000,30651422,43948865,1999,11,12
Enemy of the State,132,"Action,Thriller",7.3,257702,Tony Scott,David Marconi,"Nov 20, 1998",85000000,111549836,250649836,1998,11,20
Firestorm,89,"Action,Thriller",4.8,4292,Dean Semler,Chris Soth,"Jan 9, 1998",19000000,8123860,8123860,1998,1,9
Hard Rain,97,"Action,Crime,Drama",5.9,37124,Mikael Salomon,Graham Yost,"Jan 16, 1998",70000000,19870567,19870567,1998,1,16
Holy Man,114,"Comedy,Drama",4.9,20868,Stephen Herek,Tom Schulman,"Oct 9, 1998",60000000,12069719,12069719,1998,10,9
Living Out Loud,100,"Comedy,Drama,Romance",6.5,5040,Richard LaGravenese,Richard LaGravenese,"Oct 30, 1998",12000000,12905901,12905901,1998,10,30
Knock Off,91,"Action,Crime,Thriller",4.8,16330,Hark Tsui,Steven E. de Souza,"Sep 4, 1998",35000000,10319915,10319915,1998,9,4
One Man's Hero,121,"Action,Drama,History",6.0,1335,Lance Hool,Milton S. Gelman,"Sep 24, 1999",18000000,229311,229311,1999,9,24
Resident Evil,100,"Action,Horror,Sci-Fi",6.6,286578,Paul W.S. Anderson,Paul W.S. Anderson,"Mar 15, 2002",35000000,40119709,103787401,2002,3,15
Safe Men,88,"Comedy,Crime",5.8,3541,John Hamburg,John Hamburg,"Aug 7, 1998",1000000,21210,21210,1998,8,7
Saving Private Ryan,169,"Drama,War",8.6,1485434,Steven Spielberg,Robert Rodat,"Jul 24, 1998",65000000,216335085,485035085,1998,7,24
Slums of Beverly Hills,91,"Comedy,Drama",6.7,14554,Tamara Jenkins,Tamara Jenkins,"Aug 14, 1998",5000000,5502773,5502773,1998,8,14
Wild Things,108,"Crime,Drama,Mystery",6.6,129626,John McNaughton,Stephen Peters,"Mar 20, 1998",20000000,29795299,55576210,1998,3,20
Zero Effect,116,"Comedy,Crime,Drama",6.9,15261,Jake Kasdan,Jake Kasdan,"Jan 30, 1998",5000000,2080693,2080693,1998,1,30
eXistenZ,97,"Horror,Mystery,Sci-Fi",6.8,106636,David Cronenberg,David Cronenberg,"Apr 23, 1999",20700000,2840417,2840417,1999,4,23
Very Bad Things,100,"Comedy,Crime,Thriller",6.3,48862,Peter Berg,Peter Berg,"Nov 25, 1998",10000000,9949470,21094974,1998,11,25
He Got Game,136,"Drama,Sport",6.9,51156,Spike Lee,Spike Lee,"May 1, 1998",25000000,21567853,22411948,1998,5,1
Notting Hill,124,"Comedy,Drama,Romance",7.2,339474,Roger Michell,Richard Curtis,"May 28, 1999",42000000,116089678,363718196,1999,5,28
Hav Plenty,92,"Comedy,Romance",6.2,1126,Christopher Scott Cherot,Christopher Scott Cherot,"Jun 19, 1998",650000,2301777,2301777,1998,6,19
Elizabeth,124,"Biography,Drama,History",7.4,104720,Shekhar Kapur,Michael Hirst,"Nov 6, 1998",25000000,30082699,82150642,1998,11,6
Ravenous,101,"Adventure,Drama,Horror",6.9,43023,Antonia Bird,Ted Griffin,"Mar 19, 1999",12000000,2062406,2062406,1999,3,19
Bowfinger,97,Comedy,6.5,73645,Frank Oz,Steve Martin,"Aug 13, 1999",55000000,66458769,98699769,1999,8,13
8MM,123,"Crime,Drama,Mystery",6.6,141969,Joel Schumacher,Andrew Kevin Walker,"Feb 26, 1999",40000000,36443442,96398826,1999,2,26
Disturbing Behavior,84,"Horror,Mystery,Sci-Fi",5.6,25118,David Nutter,Scott Rosenberg,"Jul 24, 1998",15000000,17507368,19014238,1998,7,24
Duets,112,"Comedy,Drama,Music",6.1,10014,Bruce Paltrow,John Byrum,"Sep 15, 2000",16000000,4734235,6615452,2000,9,15
200 Cigarettes,101,"Comedy,Drama,Romance",5.9,16299,Risa Bramon Garcia,Shana Larsen,"Feb 26, 1999",6000000,6852450,6852450,1999,2,26
Arlington Road,117,"Action,Crime,Drama",7.2,91532,Mark Pellington,Ehren Kruger,"Jul 9, 1999",21500000,24419219,24419219,1999,7,9
The Astronaut's Wife,109,"Drama,Sci-Fi,Thriller",5.4,57270,Rand Ravich,Rand Ravich,"Aug 27, 1999",34000000,10672566,10672566,1999,8,27
Lake Placid,82,"Action,Comedy,Horror",5.8,65216,Steve Miner,David E. Kelley,"Jul 16, 1999",27000000,31770413,31770413,1999,7,16
Training Day,122,"Crime,Drama,Thriller",7.7,469483,Antoine Fuqua,David Ayer,"Oct 5, 2001",45000000,76261036,104505352,2001,10,5
Varsity Blues,106,"Comedy,Drama,Romance",6.5,48797,Brian Robbins,W. Peter Iliff,"Jan 15, 1999",16000000,52894169,54294169,1999,1,15
Mumford,112,"Comedy,Drama",6.8,9483,Lawrence Kasdan,Lawrence Kasdan,"Sep 24, 1999",28700000,4559569,4559569,1999,9,24
The Corruptor,110,"Action,Crime,Thriller",6.1,19070,James Foley,Robert Pucci,"Mar 12, 1999",10000000,15164492,15164492,1999,3,12
Crazy in Alabama,111,"Comedy,Crime,Drama",6.2,7355,Antonio Banderas,Mark Childress,"Oct 22, 1999",15000000,1954202,1954202,1999,10,22
Molly,102,"Comedy,Drama,Romance",5.7,3119,John Duigan,Richard Christie,"Oct 22, 1999",21000000,17396,17396,1999,10,22
Bride of Chucky,89,"Comedy,Horror,Thriller",5.6,63869,Ronny Yu,Don Mancini,"Oct 16, 1998",25000000,32404188,50692188,1998,10,16
Dreaming of Joseph Lees,92,"Drama,Romance",6.3,928,Eric Styles,Catherine Linstrum,"Oct 29, 1999",3250000,7680,7680,1999,10,29
Simply Irresistible,96,"Comedy,Drama,Fantasy",5.2,14875,Mark Tarlov,Judith Roberts,"Feb 5, 1999",6000000,4398989,4398989,1999,2,5
Urban Legend,99,"Horror,Mystery,Thriller",5.6,71159,Jamie Blanks,Silvio Horta,"Sep 25, 1998",14000000,38116707,72571864,1998,9,25
End of Days,122,"Action,Fantasy,Horror",5.8,116309,Peter Hyams,Andrew W. Marlowe,"Nov 24, 1999",100000000,66889043,212026975,1999,11,24
Happiness,134,"Comedy,Drama",7.7,74057,Todd Solondz,Todd Solondz,"Oct 16, 1998",3000000,2746453,5746453,1998,10,16
Cradle Will Rock,132,Drama,6.8,9507,Tim Robbins,Tim Robbins,"Dec 8, 1999",32000000,2899970,2899970,1999,12,8
Office Space,89,Comedy,7.6,285812,Mike Judge,Mike Judge,"Feb 19, 1999",10000000,10827813,12179708,1999,2,19
Flawless,112,"Crime,Drama",6.4,19889,Joel Schumacher,Joel Schumacher,"Nov 24, 1999",27000000,4485485,4485485,1999,11,24
Jawbreaker,86,"Comedy,Crime,Thriller",5.7,28641,Darren Stein,Darren Stein,"Feb 19, 1999",3000000,3076820,3076820,1999,2,19
The Next Best Thing,108,"Comedy,Drama,Romance",4.7,11665,John Schlesinger,Tom Ropelewski,"Mar 3, 2000",25000000,14983572,24355762,2000,3,3
Drop Dead Gorgeous,97,"Comedy,Romance,Thriller",6.7,40454,Michael Patrick Jann,Lona Williams,"Jul 23, 1999",10000000,10571408,10571408,1999,7,23
She's All That,95,"Comedy,Romance",5.9,103206,Robert Iscove,R. Lee Fleming Jr.,"Jan 29, 1999",10000000,63465522,63465522,1999,1,29
Cast Away,143,"Adventure,Drama,Romance",7.8,634297,Robert Zemeckis,William Broyles Jr.,"Dec 22, 2000",85000000,233632142,427230516,2000,12,22
Limbo,126,"Adventure,Drama,Thriller",7.0,6354,John Sayles,John Sayles,"Jun 4, 1999",8300000,2160710,2598224,1999,6,4
Limbo,58,Horror,5.3,84,Tina Krause,Tina Krause,"Jun 4, 1999",8300000,2160710,2598224,1999,6,4
Detroit Rock City,95,"Adventure,Comedy,Music",6.8,41172,Adam Rifkin,Carl V. Dupré,"Aug 13, 1999",16000000,4217115,5825314,1999,8,13
The Limey,89,"Crime,Drama,Mystery",6.9,34623,Steven Soderbergh,Lem Dobbs,"Oct 8, 1999",10000000,3193102,6030047,1999,10,8
Let's Talk About Sex,82,Drama,3.8,336,Troy Byer,Troy Byer,"Sep 11, 1998",300000,373615,373615,1998,9,11
Waking Ned Devine,91,Comedy,7.3,27870,Kirk Jones,Kirk Jones,"Nov 20, 1998",3000000,24793251,55193251,1998,11,20
Mulholland Drive,147,"Drama,Mystery,Thriller",7.9,381290,David Lynch,David Lynch,"Oct 8, 2001",15000000,7219578,20780568,2001,10,8
The Sixth Sense,107,"Drama,Mystery,Thriller",8.2,1044755,M. Night Shyamalan,M. Night Shyamalan,"Jan 15, 1999",40000000,293506292,672806292,1999,1,15
Diamonds,91,"Comedy,Mystery",5.4,1796,John Asher,Allan Aaron Katz,"Dec 10, 1999",11900000,81897,81897,1999,12,10
The Stewardesses,93,"Comedy,Drama",3.7,380,Allan Silliphant,Allan Silliphant,"Jul 25, 1969",200000,13500000,25000000,1969,7,25
The Best Man,120,"Comedy,Drama,Romance",6.7,11780,Malcolm D. Lee,Malcolm D. Lee,"Oct 22, 1999",9000000,34102780,34572780,1999,10,22
Antwone Fisher,120,"Biography,Drama",7.3,38231,Denzel Washington,Antwone Fisher,"Dec 19, 2002",12500000,21078145,23367586,2002,12,19
American Beauty,122,Drama,8.3,1204850,Sam Mendes,Alan Ball,"Sep 15, 1999",15000000,130058047,356258047,1999,9,15
Gun Shy,101,"Comedy,Crime,Romance",5.6,7819,Eric Blakeney,Eric Blakeney,"Feb 4, 2000",10000000,1638202,1638202,2000,2,4
Keeping the Faith,128,"Comedy,Drama,Romance",6.4,53116,Edward Norton,Stuart Blumberg,"Apr 14, 2000",29000000,37036404,45336404,2000,4,14
Light It Up,99,"Drama,Thriller",6.0,3934,Craig Bolotin,Craig Bolotin,"Nov 10, 1999",13000000,5871603,5871603,1999,11,10
Cecil B. Demented,87,"Comedy,Crime,Thriller",6.2,16559,John Waters,John Waters,"Aug 11, 2000",10000000,1276984,1953882,2000,8,11
Whipped,82,"Comedy,Romance",4.4,4348,Peter M. Cohen,Peter M. Cohen,"Sep 1, 2000",3000000,4142507,4142507,2000,9,1
Autumn in New York,103,"Drama,Romance",5.6,28153,Joan Chen,Allison Burnett,"Aug 11, 2000",40000000,37752931,90717684,2000,8,11
Magnolia,188,Drama,8.0,326950,Paul Thomas Anderson,Paul Thomas Anderson,"Dec 17, 1999",37000000,22450975,48446802,1999,12,17
Moonlight Mile,117,"Drama,Romance",6.6,14625,Brad Silberling,Brad Silberling,"Sep 27, 2002",21000000,6830957,6830957,2002,9,27
15 Minutes,120,"Action,Crime,Drama",6.1,51834,John Herzfeld,John Herzfeld,"Mar 9, 2001",42000000,24375436,56331864,2001,3,9
The Adventures of Pluto Nash,95,"Action,Comedy,Sci-Fi",3.9,26916,Ron Underwood,Neil Cuthbert,"Aug 16, 2002",100000000,4411102,7094995,2002,8,16
Quills,124,"Biography,Drama",7.2,56542,Philip Kaufman,Doug Wright,"Nov 22, 2000",13500000,7060876,11732088,2000,11,22
Finding Forrester,136,Drama,7.3,89276,Gus Van Sant,Mike Rich,"Dec 19, 2000",43000000,51768623,80013623,2000,12,19
The Specials,82,"Action,Comedy,Fantasy",5.7,2518,Craig Mazin,James Gunn,"Sep 22, 2000",1000000,12996,12996,2000,9,22
Almost Famous,122,"Adventure,Comedy,Drama",7.9,291859,Cameron Crowe,Cameron Crowe,"Sep 15, 2000",60000000,32522352,47371191,2000,9,15
Boiler Room,120,"Crime,Drama,Thriller",7.0,56245,Ben Younger,Ben Younger,"Feb 18, 2000",9000000,16963963,28773637,2000,2,18
The Caveman's Valentine,105,"Crime,Drama,Music",5.8,8110,Kasi Lemmons,George Dawes Green,"Mar 2, 2001",13500000,687081,892506,2001,3,2
Reindeer Games,104,"Action,Crime,Thriller",5.8,42235,John Frankenheimer,Ehren Kruger,"Feb 25, 2000",36000000,23360779,23360779,2000,2,25
Drowning Mona,96,"Comedy,Crime,Mystery",5.7,15497,Nick Gomez,Peter Steinfeld,"Mar 3, 2000",16000000,15427192,15980376,2000,3,3
Frequency,118,"Crime,Drama,Mystery",7.4,115171,Gregory Hoblit,Toby Emmerich,"Apr 28, 2000",31000000,44983704,68079671,2000,4,28
Bounce,106,"Drama,Romance",5.8,21676,Don Roos,Don Roos,"Nov 17, 2000",35000000,36805288,53425292,2000,11,17
Down to You,91,"Comedy,Drama,Romance",5.0,15687,Kris Isacsson,Kris Isacsson,"Jan 21, 2000",9000000,20035310,20035310,2000,1,21
The Patriot,165,"Action,Drama,History",7.2,291719,Roland Emmerich,Robert Rodat,"Jun 28, 2000",110000000,113330342,215300000,2000,6,28
Love Stinks,94,Comedy,5.7,5532,Jeff Franklin,Jeff Franklin,"Sep 10, 1999",4000000,2793776,2793776,1999,9,10
Gabriela,93,"Drama,Romance",4.8,1600,Vincent Jay Miller,Vincent Jay Miller,"Mar 16, 2001",50000,2335352,2335352,2001,3,16
Shadow of the Vampire,92,"Drama,Horror",6.9,43991,E. Elias Merhige,Steven Katz,"Dec 29, 2000",8000000,8279017,8279017,2000,12,29
The Whole Nine Yards,98,"Comedy,Crime",6.7,128576,Jonathan Lynn,Mitchell Kapner,"Feb 18, 2000",24000000,57262492,85527867,2000,2,18
The Replacements,118,"Comedy,Sport",6.6,69104,Howard Deutch,Vince McKewin,"Aug 11, 2000",50000000,44737059,50054511,2000,8,11
28 Days,103,"Comedy,Drama",6.1,54101,Betty Thomas,Susannah Grant,"Apr 14, 2000",43000000,37035515,62063972,2000,4,14
Get Over It,87,"Comedy,Romance",5.7,19930,Tommy O'Haver,R. Lee Fleming Jr.,"Mar 9, 2001",10000000,11560259,19860259,2001,3,9
The Skulls,106,"Action,Crime,Drama",5.6,33580,Rob Cohen,John Pogue,"Mar 31, 2000",15000000,35007180,35007180,2000,3,31
Panic,88,"Comedy,Crime,Drama",6.7,8977,Henry Bromell,Henry Bromell,"Dec 1, 2000",1000000,779137,1425707,2000,12,1
Erin Brockovich,131,"Biography,Drama",7.4,218974,Steven Soderbergh,Susannah Grant,"Mar 17, 2000",50000000,125548685,257805243,2000,3,17
Here on Earth,96,"Drama,Romance",5.2,8868,Mark Piznarski,Michael Seitzman,"Mar 24, 2000",15000000,10494147,10845127,2000,3,24
Small Time Crooks,94,"Comedy,Crime",6.7,40476,Woody Allen,Woody Allen,"May 19, 2000",18000000,17266359,29934477,2000,5,19
The Crew,88,"Comedy,Crime",5.6,6670,Michael Dinner,Barry Fanaro,"Aug 25, 2000",23000000,13019253,13019253,2000,8,25
3 Strikes,82,Comedy,4.7,3669,DJ Pooh,DJ Pooh,"Mar 1, 2000",4000000,9821335,9821335,2000,3,1
Love & Basketball,124,"Drama,Romance,Sport",7.2,24009,Gina Prince-Bythewood,Gina Prince-Bythewood,"Apr 21, 2000",15000000,27441122,27709625,2000,4,21
Bats,91,"Horror,Sci-Fi,Thriller",4.0,11367,Louis Morneau,John Logan,"Oct 22, 1999",6500000,10155691,10155691,1999,10,22
Coyote Ugly,100,"Comedy,Drama,Music",5.7,120449,David McNally,Gina Wendkos,"Aug 4, 2000",45000000,60786269,113916474,2000,8,4
Rock Star,105,"Drama,Music",6.3,45146,Stephen Herek,John Stockwell,"Sep 7, 2001",38000000,16991902,19317765,2001,9,7
The Way of the Gun,119,"Action,Crime,Drama",6.6,35112,Christopher McQuarrie,Christopher McQuarrie,"Sep 8, 2000",9000000,6047856,13061935,2000,9,8
Men of Honor,129,"Biography,Drama",7.2,124594,George Tillman Jr.,Scott Marshall Smith,"Nov 10, 2000",32000000,48814909,82339483,2000,11,10
You Can Count on Me,111,Drama,7.5,31278,Kenneth Lonergan,Kenneth Lonergan,"Nov 10, 2000",1200000,9180275,10827356,2000,11,10
American Desi,100,"Comedy,Drama,Romance",6.6,1663,Piyush Dinker Pandya,Piyush Dinker Pandya,"Mar 16, 2001",250000,902835,1366235,2001,3,16
Psycho Beach Party,95,"Comedy,Horror,Mystery",6.0,6563,Robert Lee King,Charles Busch,"Aug 4, 2000",4000000,267972,267972,2000,8,4
Woman on Top,92,"Comedy,Fantasy,Romance",5.3,10895,Fina Torres,Vera Blasi,"Sep 22, 2000",8000000,5018450,10192613,2000,9,22
Snatch,104,"Comedy,Crime",8.2,903759,Guy Ritchie,Guy Ritchie,"Sep 1, 2000",10000000,30093107,83593107,2000,9,1
The Contender,126,"Drama,Thriller",6.9,24932,Rod Lurie,Rod Lurie,"Oct 13, 2000",9000000,17804273,17804273,2000,10,13
The Mummy Returns,130,"Action,Adventure,Fantasy",6.4,344064,Stephen Sommers,Stephen Sommers,"May 4, 2001",98000000,202007640,435040395,2001,5,4
The Cell,107,"Crime,Horror,Sci-Fi",6.4,108573,Tarsem Singh,Mark Protosevich,"Aug 18, 2000",35000000,61280963,104102747,2000,8,18
Beautiful,112,"Comedy,Drama",5.6,4290,Sally Field,Jon Bernstein,"Sep 29, 2000",9000000,3134509,3134509,2000,9,29
Center Stage,115,"Drama,Music,Romance",6.7,22722,Nicholas Hytner,Carol Heikkinen,"May 12, 2000",18000000,17200925,21361109,2000,5,12
Remember the Titans,113,"Biography,Drama,Sport",7.8,230633,Boaz Yakin,Gregory Allen Howard,"Sep 29, 2000",30000000,115719751,136771683,2000,9,29
Awake,84,"Crime,Drama,Mystery",6.5,80234,Joby Harold,Joby Harold,"Nov 30, 2007",8600000,14373825,32968648,2007,11,30
2046,129,"Drama,Romance,Sci-Fi",7.4,61466,Kar-Wai Wong,Kar-Wai Wong,"Oct 15, 2004",12000000,1442338,19278598,2004,10,15
Groove,86,"Drama,Music",6.6,4507,Greg Harrison,Greg Harrison,"Jun 9, 2000",500000,1115313,1167524,2000,6,9
Pearl Harbor,183,"Action,Drama,History",6.2,350167,Michael Bay,Randall Wallace,"May 25, 2001",151500000,198539855,449239853,2001,5,25
Bamboozled,135,"Comedy,Drama,Music",6.7,12267,Spike Lee,Spike Lee,"Oct 6, 2000",10000000,2185266,2373937,2000,10,6
Loser,98,"Comedy,Romance",5.3,30265,Amy Heckerling,Amy Heckerling,"Jul 21, 2000",20000000,15464026,18250106,2000,7,21
Ready to Rumble,107,"Comedy,Sport",5.3,15248,Brian Robbins,Steven Brill,"Apr 7, 2000",24000000,12372410,12372410,2000,4,7
Unbreakable,106,"Drama,Mystery,Sci-Fi",7.3,438756,M. Night Shyamalan,M. Night Shyamalan,"Nov 22, 2000",73243106,94999143,248099143,2000,11,22
Beyond the Mat,102,"Biography,Documentary,Sport",7.6,9444,Barry W. Blaustein,Barry W. Blaustein,"Oct 22, 1999",500000,2047570,2047570,1999,10,22
An Everlasting Piece,103,Comedy,6.2,1736,Barry Levinson,Barry McEvoy,"Dec 22, 2000",4000000,75078,75078,2000,12,22
Soul Survivors,84,"Horror,Mystery,Thriller",3.9,9578,Stephen Carpenter,Stephen Carpenter,"Sep 7, 2001",14000000,3100650,4288246,2001,9,7
Antitrust,108,"Action,Crime,Drama",6.1,30232,Peter Howitt,Howard Franklin,"Jan 12, 2001",30000000,10965209,17865209,2001,1,12
The Kid,104,"Comedy,Family,Fantasy",6.1,44226,Jon Turteltaub,Audrey Wells,"Jul 7, 2000",65000000,69688384,69688384,2000,7,7
Lucky Numbers,105,"Comedy,Crime",5.1,10898,Nora Ephron,Adam Resnick,"Oct 27, 2000",65000000,10014234,10014234,2000,10,27
Bandits,123,"Comedy,Crime,Drama",6.5,70710,Barry Levinson,Harley Peyton,"Oct 12, 2001",75000000,41523271,71523271,2001,10,12
The Glass House,106,"Crime,Drama,Mystery",5.8,39661,Daniel Sackheim,Wesley Strick,"Sep 14, 2001",22000000,17951431,22861785,2001,9,14
The Broken Hearts Club: A Romantic Comedy,94,"Comedy,Drama,Romance",6.9,8146,Greg Berlanti,Greg Berlanti,"Sep 29, 2000",1000000,1744858,2022442,2000,9,29
Angel Eyes,102,"Drama,Romance",5.7,25617,Luis Mandoki,Gerald Di Pego,"May 18, 2001",38000000,24044532,29544532,2001,5,18
Made,95,"Comedy,Crime,Drama",6.3,19297,Jon Favreau,Jon Favreau,"Jul 13, 2001",5000000,5308707,5476060,2001,7,13
Spy Kids,88,"Action,Adventure,Comedy",5.6,126559,Robert Rodriguez,Robert Rodriguez,"Mar 30, 2001",35000000,112692062,197692062,2001,3,30
The Others,101,"Horror,Mystery,Thriller",7.6,390985,Alejandro Amenábar,Alejandro Amenábar,"Aug 10, 2001",17000000,96545842,207788211,2001,8,10
The Salton Sea,103,"Crime,Drama,Mystery",7.0,31946,D.J. Caruso,Tony Gayton,"Apr 26, 2002",18000000,676698,676698,2002,4,26
The Mexican,123,"Adventure,Comedy,Drama",6.1,112738,Gore Verbinski,J.H. Wyman,"Mar 2, 2001",40000000,66808615,145238250,2001,3,2
God's Army,108,Drama,6.2,1144,Richard Dutcher,Richard Dutcher,"Mar 10, 2000",300000,2637726,2652515,2000,3,10
Gossip,134,"Comedy,Drama",4.8,839,Colin Nutley,Colin Nutley,"Apr 21, 2000",14000000,5108820,12591270,2000,4,21
Equilibrium,107,"Action,Drama,Sci-Fi",7.3,345554,Kurt Wimmer,Kurt Wimmer,"Dec 6, 2002",20000000,1190018,5345869,2002,12,6
